#lambda_l=1.044533137529e+00, lambda_r=1.044533137529e+00
7.953157171358e-26 9.416935653142e-26
7.624918959445e-26 9.029207482107e-26
7.546081233408e-26 8.846418262567e-26
7.251441469783e-26 8.787221178743e-26
7.205672526368e-26 8.633378504899e-26
7.037657410045e-26 8.600881908788e-26
6.900010161467e-26 8.252609160742e-26
6.660421777046e-26 8.109146597313e-26
6.645592848837e-26 7.802793692094e-26
6.561847889680e-26 7.303540800462e-26
6.334883123843e-26 7.182044479261e-26
6.168500643059e-26 7.145093294069e-26
6.070924490093e-26 6.969363428525e-26
5.959663234439e-26 6.673446531303e-26
5.827881992924e-26 6.654806376244e-26
5.724272440280e-26 6.610193057933e-26
5.626529900296e-26 6.332386341118e-26
5.481975642981e-26 6.325291564363e-26
5.270139752685e-26 6.097462118802e-26
5.157829120101e-26 6.028686634190e-26
5.100670207312e-26 5.916143639092e-26
5.039465996064e-26 5.718479783661e-26
5.023172215797e-26 5.290293897467e-26
4.833752796998e-26 5.259883862858e-26
4.758969006377e-26 5.205089039317e-26
4.533075362195e-26 5.014231684914e-26
4.485328432366e-26 4.995998484627e-26
4.360471187124e-26 4.961266269827e-26
4.227380319767e-26 4.886064809684e-26
4.211544012120e-26 4.831939539092e-26
4.162240419279e-26 4.663279385611e-26
4.059842244738e-26 4.597873251711e-26
3.985690381150e-26 4.564351644025e-26
3.958912312912e-26 4.408270640542e-26
3.898455993180e-26 4.233082402893e-26
3.725192214095e-26 4.100094064189e-26
3.623390909014e-26 4.017595195337e-26
3.529048900942e-26 3.933872975908e-26
3.447451314086e-26 3.861661900843e-26
3.396296935214e-26 3.763284961937e-26
3.393097502053e-26 3.714314231474e-26
3.374106643646e-26 3.637498307767e-26
3.354055816569e-26 3.603228769884e-26
3.268283006234e-26 3.331342546237e-26
3.255153155633e-26 3.323371020543e-26
3.215713304483e-26 3.274824794284e-26
3.188486793624e-26 3.134439246110e-26
3.154136066859e-26 3.027725416101e-26
3.009371825169e-26 2.931774391936e-26
2.907609651717e-26 2.911947563213e-26
2.883727086612e-26 2.815817439653e-26
2.834693838900e-26 2.794140606067e-26
2.697948498995e-26 2.754861744557e-26
2.585895006093e-26 2.723383201111e-26
2.491527974904e-26 2.669193459923e-26
2.484790780998e-26 2.630169919776e-26
2.444947800411e-26 2.584754538891e-26
2.409841140488e-26 2.496675803250e-26
2.391563111754e-26 2.453993018484e-26
2.362368281387e-26 2.431952743785e-26
2.312999493936e-26 2.410487169918e-26
2.310518948843e-26 2.372554048518e-26
2.301633563192e-26 2.351113279040e-26
2.253062756241e-26 2.293330492638e-26
2.185774421510e-26 2.285119365486e-26
2.131227077546e-26 2.150212298692e-26
2.102568289148e-26 2.131989244022e-26
2.044267471549e-26 2.080218440208e-26
1.970948383104e-26 2.057173474282e-26
1.890616680479e-26 2.047873728140e-26
1.857376953084e-26 2.031992626625e-26
1.834481323511e-26 1.851682460305e-26
1.817891685084e-26 1.792368378557e-26
1.780823783376e-26 1.751982920453e-26
1.725384952773e-26 1.729438212995e-26
1.710314275105e-26 1.694062152181e-26
1.652972188490e-26 1.680280792378e-26
1.626832901352e-26 1.677262272428e-26
1.619749998759e-26 1.661859140177e-26
1.580737714631e-26 1.654980128340e-26
1.575762940342e-26 1.636680503103e-26
1.553252332885e-26 1.621134269832e-26
1.549146568661e-26 1.556177389809e-26
1.533153035492e-26 1.545885825554e-26
1.523761095036e-26 1.544469654472e-26
1.502636114383e-26 1.489733759411e-26
1.477508362830e-26 1.487201303658e-26
1.459632665088e-26 1.469800205156e-26
1.430050071929e-26 1.455829281666e-26
1.403278165911e-26 1.455068684672e-26
1.380414960866e-26 1.446555199419e-26
1.356267265595e-26 1.441727721376e-26
1.327945519888e-26 1.373944016777e-26
1.284308196967e-26 1.360189689189e-26
1.256487859064e-26 1.358451228786e-26
1.254912363772e-26 1.335763733746e-26
1.242272418319e-26 1.333862020054e-26
1.233557632157e-26 1.304607032591e-26
1.223529140325e-26 1.294839990105e-26
1.222763451533e-26 1.247739432567e-26
1.159250142726e-26 1.200480415642e-26
1.141778554927e-26 1.194844801048e-26
1.125148047438e-26 1.178728965850e-26
1.096272547837e-26 1.146311587816e-26
1.055445061165e-26 1.142998504077e-26
1.046417273272e-26 1.123226427837e-26
1.012551442619e-26 1.117530919040e-26
9.984942751404e-27 1.115721838356e-26
9.853681364837e-27 1.109044363601e-26
9.808393711624e-27 1.092247653431e-26
9.612374986655e-27 1.088132472029e-26
9.601516193121e-27 1.085937772175e-26
9.470989140069e-27 1.055152058344e-26
9.411845893751e-27 9.992899009934e-27
8.916438551979e-27 9.897935837566e-27
8.729975177811e-27 9.710294233151e-27
8.592688002253e-27 9.452272808105e-27
8.433722685258e-27 9.273433556918e-27
8.431684019482e-27 9.217309455982e-27
8.403065891173e-27 9.215838374260e-27
8.337196100357e-27 9.033579846114e-27
8.181792557565e-27 8.851504129484e-27
8.071340800233e-27 8.805206482349e-27
8.014654694183e-27 8.775907550161e-27
7.958459619284e-27 8.435270157830e-27
7.869961053153e-27 8.260771969625e-27
7.853779904723e-27 8.148947440336e-27
7.750466076289e-27 8.071380997479e-27
7.496533609521e-27 7.756176856941e-27
7.335651060686e-27 7.637331516675e-27
7.260905194346e-27 7.627236447942e-27
7.165237918757e-27 7.602684882074e-27
7.143856151159e-27 7.490152202091e-27
7.104422205454e-27 7.259977725359e-27
6.868995978580e-27 7.233107985680e-27
6.749440894736e-27 7.121641778149e-27
6.608006879036e-27 7.063364793209e-27
6.551268070105e-27 7.061475128394e-27
6.368033323855e-27 6.812862997322e-27
6.297511800805e-27 6.812047985147e-27
6.256858409241e-27 6.640403631254e-27
6.132000960998e-27 6.621416998710e-27
6.041682078160e-27 6.597205851473e-27
5.852239405231e-27 6.227236081936e-27
5.685234007064e-27 6.099793141394e-27
5.500448325697e-27 6.009707700253e-27
5.328741336841e-27 5.914493519116e-27
5.223318499975e-27 5.869076614559e-27
5.208134978673e-27 5.820883454891e-27
